country,count_double_coins
United States,201
India,299
Brazil,4
Ireland,8
Romania,21
Indonesia,13
United Kingdom,75
Russia,1
Algeria,1
France,24
Netherlands,10
Mexico,9
Spain,3
Kenya,3
Czechia,1
Estonia,1
Germany,3
Sri Lanka,5
United Arab Emirates,8
Egypt,7
Nepal,26
Latvia,13
Morocco,6
Malaysia,56
Australia,4
Philippines,4
South Korea,4
Hungary,1
Trinidad & Tobago,1
Iraq,1
Bulgaria,2
Bangladesh,2
China,1
Thailand,1
Saudi Arabia,1
Italy,1
Kosovo,1
Panama,1
Japan,5
Poland,10
Singapore,11
Finland,7
Belgium,3
Martinique,1
Canada,1
Slovakia,12
Sweden,8
Ukraine,1
Kazakhstan,3
Croatia,1
