event,count_events
user_engagement,3633
screen_view,3039
start_level,2180
game_flow,2135
gameplay,2059
end_level,1887
interim_screen,1380
level_end_info,1315
open_garage,1135
screen,1021
revive,986
select_content,743
session_count,593
session_start,445
car,369
camera,306
spend_virtual_currency,260
ftue,243
next_screen,150
open_store,143
install_day,134
present_offer,129
pause_screen,126
iap,81
in_app_purchase,73
first_open,64
double_coins,62
in_app_purchase_2,61
all_car_iap_used,44
unlock_chapter,41
promo_clicked,27
cross_promotion,26
daily_rewards,24
no_ads_available,18
feedback,16
app_update,15
os_update,12
select_daily_rewards,5
Settings,5
options,3
