,actual,average,day,forecast_acc,forecast_noaa,forecast_under,month,temp_1,temp_2,year
0,45,45.6,1,50,43,44,1,45,45,2016
1,44,45.7,2,50,41,44,1,45,44,2016
2,49,46.8,12,50,44,45,1,45,52,2016
3,50,46.4,9,50,46,45,1,48,45,2016
4,48,46.3,8,47,43,46,1,45,51,2016
5,40,45.9,4,48,44,46,1,41,44,2016
6,50,47.4,17,51,45,46,1,54,48,2016
7,54,47.3,16,52,45,46,1,48,49,2016
8,55,46.9,13,51,45,46,1,49,45,2016
9,44,46.0,5,46,46,46,1,40,41,2016
10,48,47.1,15,51,46,46,1,49,55,2016
11,45,46.2,7,49,45,46,1,51,44,2016
12,52,47.8,21,51,43,46,1,52,48,2016
13,49,47.0,14,47,43,46,1,55,49,2016
14,52,48.5,29,52,48,47,1,56,57,2016
15,41,45.8,3,46,43,47,1,44,45,2016
16,48,48.6,30,51,45,48,1,52,56,2016
17,48,47.6,19,49,47,48,1,54,50,2016
18,57,47.9,22,48,47,48,1,52,52,2016
19,52,46.5,10,48,45,48,1,50,48,2016
20,45,46.7,11,48,42,48,1,52,50,2016
21,51,48.1,24,50,46,48,1,48,57,2016
22,56,48.4,28,52,44,48,1,57,56,2016
23,51,46.1,6,49,43,48,1,44,40,2016
24,54,47.5,18,48,44,49,1,50,54,2016
25,47,48.7,31,52,47,49,1,48,52,2016
26,52,47.7,20,52,44,49,1,48,54,2016
27,54,48.2,25,51,45,49,1,51,48,2016
28,57,48.4,27,51,45,49,1,56,54,2016
29,56,48.3,26,53,44,50,1,54,51,2016
30,48,48.0,23,49,45,50,1,57,52,2016
31,58,49.6,12,52,49,48,2,55,56,2016
32,51,49.2,7,51,46,48,2,49,53,2016
33,57,50.0,17,51,45,49,2,56,55,2016
34,53,50.1,18,55,47,49,2,57,56,2016
35,55,49.9,15,52,46,49,2,58,55,2016
36,62,49.4,9,52,45,49,2,57,51,2016
37,56,49.4,10,50,48,49,2,62,57,2016
38,46,48.8,1,49,46,49,2,47,48,2016
39,61,50.9,25,51,49,49,2,59,60,2016
40,53,49.1,5,50,47,49,2,49,49,2016
41,49,49.1,6,53,47,49,2,53,49,2016
42,57,49.3,8,52,49,50,2,51,49,2016
43,51,50.6,22,51,46,50,2,51,53,2016
44,49,48.9,3,49,48,50,2,51,46,2016
45,59,50.8,24,53,47,50,2,60,51,2016
46,55,49.5,11,53,46,50,2,56,62,2016
47,51,48.8,2,50,48,50,2,46,47,2016
48,60,50.7,23,53,49,51,2,51,51,2016
49,49,49.0,4,54,44,51,2,49,51,2016
50,51,50.2,19,52,50,51,2,53,57,2016
51,56,49.9,16,54,47,51,2,55,58,2016
52,53,50.4,20,55,48,51,2,51,53,2016
53,51,50.5,21,54,49,52,2,53,51,2016
54,53,51.3,28,56,48,53,2,57,60,2016
55,57,51.2,27,53,51,53,2,60,61,2016
56,60,51.1,26,56,48,53,2,61,59,2016
57,58,51.5,1,56,48,50,3,54,53,2016
58,59,51.8,3,54,49,50,3,55,58,2016
59,55,53.0,11,53,53,51,3,56,55,2016
60,60,52.2,6,53,52,51,3,64,57,2016
61,64,52.1,5,53,49,51,3,57,59,2016
62,54,52.5,8,56,48,51,3,53,60,2016
63,51,53.6,15,58,49,52,3,49,54,2016
64,55,51.6,2,54,47,52,3,58,54,2016
65,58,53.9,17,58,49,52,3,53,51,2016
66,56,52.8,10,55,49,53,3,55,54,2016
67,57,51.9,4,56,47,53,3,59,55,2016
68,52,53.1,12,58,52,53,3,55,56,2016
69,54,53.3,13,55,50,53,3,52,55,2016
70,53,52.4,7,57,49,53,3,60,64,2016
71,57,54.6,22,55,51,54,3,56,55,2016
72,63,54.0,18,57,51,54,3,58,53,2016
73,55,52.7,9,56,48,54,3,54,53,2016
74,64,55.6,29,59,53,54,3,56,51,2016
75,61,54.2,19,59,54,54,3,63,58,2016
76,53,53.7,16,54,52,55,3,51,49,2016
77,49,53.4,14,58,49,55,3,54,52,2016
78,51,55.3,27,58,52,55,3,59,57,2016
79,53,54.7,23,58,50,55,3,57,56,2016
80,56,55.5,28,57,55,55,3,51,59,2016
81,56,54.5,21,56,52,55,3,55,61,2016
82,55,54.3,20,56,51,55,3,61,63,2016
83,59,55.2,26,57,53,55,3,57,54,2016
84,54,54.9,24,56,54,56,3,53,57,2016
85,68,55.7,30,57,51,56,3,64,56,2016
86,73,55.9,31,59,55,56,3,68,64,2016
87,57,55.0,25,57,53,57,3,54,53,2016
88,77,56.9,7,61,52,55,4,68,57,2016
89,71,56.0,1,59,54,55,4,73,68,2016
90,60,56.5,4,59,54,56,4,69,63,2016
91,69,56.3,3,61,54,56,4,63,71,2016
92,59,57.9,13,62,55,56,4,60,58,2016
93,57,56.6,5,58,52,56,4,60,69,2016
94,60,57.7,12,59,54,57,4,58,59,2016
95,66,57.2,9,61,53,57,4,76,77,2016
96,76,57.1,8,61,57,57,4,77,68,2016
97,59,57.4,10,60,57,57,4,66,76,2016
98,68,56.8,6,59,53,57,4,57,60,2016
99,89,58.8,18,59,55,57,4,77,68,2016
100,63,56.2,2,58,55,58,4,71,73,2016
101,59,58.1,14,63,57,58,4,59,60,2016
102,58,57.6,11,60,56,58,4,59,66,2016
103,68,58.5,16,60,56,59,4,60,59,2016
104,65,59.9,23,63,56,59,4,64,73,2016
105,81,59.0,19,63,59,59,4,89,77,2016
106,73,59.4,21,61,55,59,4,81,81,2016
107,77,58.6,17,62,58,59,4,68,60,2016
108,60,58.3,15,61,58,60,4,59,59,2016
109,61,60.7,27,65,59,60,4,60,59,2016
110,64,59.7,22,64,59,60,4,73,81,2016
111,55,60.1,24,61,57,60,4,65,64,2016
112,81,59.2,20,63,56,61,4,81,89,2016
113,59,60.3,25,64,56,61,4,55,65,2016
114,61,61.2,29,65,61,61,4,64,61,2016
115,68,61.4,30,65,60,62,4,61,64,2016
116,64,61.0,28,65,56,62,4,61,60,2016
117,60,60.5,26,61,56,62,4,59,55,2016
118,77,61.6,1,65,60,60,5,68,61,2016
119,77,62.8,6,64,61,61,5,68,60,2016
120,87,61.9,2,66,60,61,5,77,68,2016
121,67,63.4,9,66,59,62,5,63,82,2016
122,68,62.5,5,66,58,62,5,60,74,2016
123,82,63.0,7,65,61,63,5,77,68,2016
124,81,63.8,11,68,62,63,5,75,67,2016
125,77,64.1,12,67,62,63,5,81,75,2016
126,63,63.2,8,65,62,63,5,82,77,2016
127,66,65.6,20,70,63,64,5,63,64,2016
128,75,63.6,10,66,61,64,5,67,63,2016
129,57,64.7,15,69,63,64,5,65,82,2016
130,60,62.3,4,65,59,64,5,74,87,2016
131,74,62.1,3,66,62,64,5,87,77,2016
132,65,66.5,26,70,64,65,5,66,66,2016
133,71,65.0,17,65,62,65,5,60,57,2016
