year,month,day,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under
2016,1,1,45,45,45.6,45,43,50,44
2016,1,2,44,45,45.7,44,41,50,44
2016,1,12,52,45,46.8,49,44,50,45
2016,1,9,45,48,46.4,50,46,50,45
2016,1,8,51,45,46.3,48,43,47,46
2016,1,4,44,41,45.9,40,44,48,46
2016,1,17,48,54,47.4,50,45,51,46
2016,1,16,49,48,47.3,54,45,52,46
2016,1,13,45,49,46.9,55,45,51,46
2016,1,5,41,40,46.0,44,46,46,46
2016,1,15,55,49,47.1,48,46,51,46
2016,1,7,44,51,46.2,45,45,49,46
2016,1,21,48,52,47.8,52,43,51,46
2016,1,14,49,55,47.0,49,43,47,46
2016,1,29,57,56,48.5,52,48,52,47
2016,1,3,45,44,45.8,41,43,46,47
2016,1,30,56,52,48.6,48,45,51,48
2016,1,19,50,54,47.6,48,47,49,48
2016,1,22,52,52,47.9,57,47,48,48
2016,1,10,48,50,46.5,52,45,48,48
2016,1,11,50,52,46.7,45,42,48,48
2016,1,24,57,48,48.1,51,46,50,48
2016,1,28,56,57,48.4,56,44,52,48
2016,1,6,40,44,46.1,51,43,49,48
2016,1,18,54,50,47.5,54,44,48,49
2016,1,31,52,48,48.7,47,47,52,49
2016,1,20,54,48,47.7,52,44,52,49
2016,1,25,48,51,48.2,54,45,51,49
2016,1,27,54,56,48.4,57,45,51,49
2016,1,26,51,54,48.3,56,44,53,50
2016,1,23,52,57,48.0,48,45,49,50
2016,2,12,56,55,49.6,58,49,52,48
2016,2,7,53,49,49.2,51,46,51,48
2016,2,17,55,56,50.0,57,45,51,49
2016,2,18,56,57,50.1,53,47,55,49
2016,2,15,55,58,49.9,55,46,52,49
2016,2,9,51,57,49.4,62,45,52,49
2016,2,10,57,62,49.4,56,48,50,49
2016,2,1,48,47,48.8,46,46,49,49
2016,2,25,60,59,50.9,61,49,51,49
2016,2,5,49,49,49.1,53,47,50,49
2016,2,6,49,53,49.1,49,47,53,49
2016,2,8,49,51,49.3,57,49,52,50
2016,2,22,53,51,50.6,51,46,51,50
2016,2,3,46,51,48.9,49,48,49,50
2016,2,24,51,60,50.8,59,47,53,50
2016,2,11,62,56,49.5,55,46,53,50
2016,2,2,47,46,48.8,51,48,50,50
2016,2,23,51,51,50.7,60,49,53,51
2016,2,4,51,49,49.0,49,44,54,51
2016,2,19,57,53,50.2,51,50,52,51
2016,2,16,58,55,49.9,56,47,54,51
2016,2,20,53,51,50.4,53,48,55,51
2016,2,21,51,53,50.5,51,49,54,52
2016,2,28,60,57,51.3,53,48,56,53
2016,2,27,61,60,51.2,57,51,53,53
2016,2,26,59,61,51.1,60,48,56,53
2016,3,1,53,54,51.5,58,48,56,50
2016,3,3,58,55,51.8,59,49,54,50
2016,3,11,55,56,53.0,55,53,53,51
2016,3,6,57,64,52.2,60,52,53,51
2016,3,5,59,57,52.1,64,49,53,51
2016,3,8,60,53,52.5,54,48,56,51
2016,3,15,54,49,53.6,51,49,58,52
2016,3,2,54,58,51.6,55,47,54,52
2016,3,17,51,53,53.9,58,49,58,52
2016,3,10,54,55,52.8,56,49,55,53
2016,3,4,55,59,51.9,57,47,56,53
2016,3,12,56,55,53.1,52,52,58,53
2016,3,13,55,52,53.3,54,50,55,53
2016,3,7,64,60,52.4,53,49,57,53
2016,3,22,55,56,54.6,57,51,55,54
2016,3,18,53,58,54.0,63,51,57,54
2016,3,9,53,54,52.7,55,48,56,54
2016,3,29,51,56,55.6,64,53,59,54
2016,3,19,58,63,54.2,61,54,59,54
2016,3,16,49,51,53.7,53,52,54,55
2016,3,14,52,54,53.4,49,49,58,55
2016,3,27,57,59,55.3,51,52,58,55
2016,3,23,56,57,54.7,53,50,58,55
2016,3,28,59,51,55.5,56,55,57,55
2016,3,21,61,55,54.5,56,52,56,55
2016,3,20,63,61,54.3,55,51,56,55
2016,3,26,54,57,55.2,59,53,57,55
2016,3,24,57,53,54.9,54,54,56,56
2016,3,30,56,64,55.7,68,51,57,56
2016,3,31,64,68,55.9,73,55,59,56
2016,3,25,53,54,55.0,57,53,57,57
2016,4,7,57,68,56.9,77,52,61,55
2016,4,1,68,73,56.0,71,54,59,55
2016,4,4,63,69,56.5,60,54,59,56
2016,4,3,71,63,56.3,69,54,61,56
2016,4,13,58,60,57.9,59,55,62,56
2016,4,5,69,60,56.6,57,52,58,56
2016,4,12,59,58,57.7,60,54,59,57
2016,4,9,77,76,57.2,66,53,61,57
2016,4,8,68,77,57.1,76,57,61,57
2016,4,10,76,66,57.4,59,57,60,57
2016,4,6,60,57,56.8,68,53,59,57
2016,4,18,68,77,58.8,89,55,59,57
2016,4,2,73,71,56.2,63,55,58,58
2016,4,14,60,59,58.1,59,57,63,58
2016,4,11,66,59,57.6,58,56,60,58
2016,4,16,59,60,58.5,68,56,60,59
2016,4,23,73,64,59.9,65,56,63,59
2016,4,19,77,89,59.0,81,59,63,59
2016,4,21,81,81,59.4,73,55,61,59
2016,4,17,60,68,58.6,77,58,62,59
2016,4,15,59,59,58.3,60,58,61,60
2016,4,27,59,60,60.7,61,59,65,60
2016,4,22,81,73,59.7,64,59,64,60
2016,4,24,64,65,60.1,55,57,61,60
2016,4,20,89,81,59.2,81,56,63,61
2016,4,25,65,55,60.3,59,56,64,61
2016,4,29,61,64,61.2,61,61,65,61
2016,4,30,64,61,61.4,68,60,65,62
2016,4,28,60,61,61.0,64,56,65,62
2016,4,26,55,59,60.5,60,56,61,62
2016,5,1,61,68,61.6,77,60,65,60
2016,5,6,60,68,62.8,77,61,64,61
2016,5,2,68,77,61.9,87,60,66,61
2016,5,9,82,63,63.4,67,59,66,62
2016,5,5,74,60,62.5,68,58,66,62
2016,5,7,68,77,63.0,82,61,65,63
2016,5,11,67,75,63.8,81,62,68,63
2016,5,12,75,81,64.1,77,62,67,63
2016,5,8,77,82,63.2,63,62,65,63
2016,5,20,64,63,65.6,66,63,70,64
2016,5,10,63,67,63.6,75,61,66,64
2016,5,15,82,65,64.7,57,63,69,64
2016,5,4,87,74,62.3,60,59,65,64
2016,5,3,77,87,62.1,74,62,66,64
2016,5,26,66,66,66.5,65,64,70,65
2016,5,17,57,60,65.0,71,62,65,65
2016,5,22,66,59,65.9,66,62,66,65
2016,5,18,60,71,65.2,64,61,68,65
2016,5,21,63,66,65.7,59,62,67,65
2016,5,16,65,57,64.8,60,61,65,65
2016,5,28,65,64,66.8,64,64,69,65
2016,5,29,64,64,67.0,64,65,71,65
2016,5,14,77,82,64.5,65,64,66,66
2016,5,13,81,77,64.3,82,63,67,66
2016,5,30,64,64,67.1,71,64,70,66
